appid,name,genres,categories
856210,bit Dungeon III,"Action, Adventure, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
856220,DON'T DIE!,Action,"Single-player, Family Sharing"
856240,Total Singu,Indie,"Single-player, Family Sharing"
856260,100 Chests,"Adventure, Casual","Single-player, Family Sharing"
856270,Draid,"Adventure, Indie","Single-player, Full controller support, Steam Cloud, Family Sharing"
856300,Disc Golf VR,"Casual, Free To Play, Indie, Simulation, Sports, Strategy, Early Access","Single-player, Tracked Controller Support, VR Supported"
856310,Seul (Alone): The entrée,"Adventure, Indie, RPG","Single-player, Family Sharing"
856320,The Road Trip,"Action, Adventure, Casual, Indie, Racing","Single-player, Partial Controller Support, Family Sharing"
856350,15 seconds,"Action, Indie","Single-player, Family Sharing"
856370,One-way Ticket · 单程票,"Casual, Indie, RPG","Single-player, Steam Achievements, Family Sharing"
856420,Glow Ball - Not A Billiard Puzzle Game,"Casual, Indie","Single-player, Family Sharing"
856450,A Story of a Band,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
856490,Falling words,"Indie, Simulation","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
856540,Super Dangerous Dungeons,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing"
856550,Stabby Machine,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards"
856560,Black Roses,"Action, Adventure, Casual, Indie, RPG","Single-player, Family Sharing"
856570,Lost Flame,"Indie, RPG, Early Access","Single-player, Steam Achievements, Family Sharing"
856600,Fur the Game,"Adventure, Casual, Indie","Single-player, Partial Controller Support"
856640,English Teaching Assistant VR,"Education, Software Training, Early Access","Tracked Controller Support, VR Only"
856650,Pylon Racer,"Indie, Racing, Simulation, Early Access","Single-player, Partial Controller Support, Steam Leaderboards, Family Sharing"
856670,Present for Manager,"Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Remote Play Together, Family Sharing"
856730,ARENA 8,"Action, Casual, Indie","Single-player, Family Sharing"
856760,Gachi Gang,"Nudity, Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing"
856770,Hokan: Monster Slayer,"Action, Indie","Single-player, Family Sharing"
856790,Export Simulator,"Indie, Simulation, Strategy","Single-player, Family Sharing"
856880,Fighting Fantasy Classics,"Indie, RPG, Free To Play","Single-player, Steam Achievements, In-App Purchases, Steam Cloud"
856890,JUSTICE SUCKS,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Stereo Sound, Steam Cloud, Family Sharing"
856980,7-in-1 Brain Sharpness Bundle,Indie,"Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
856990,A Long Way Down,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
857010,HUBE: Seeker of Achievements,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing"
857020,Putinoids VS Navalnyats - Путиноиды Против Навальнят,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing"
857050,Casual Penalty,"Casual, Simulation, Sports","Single-player, Steam Achievements, Family Sharing"
857060,CCCP CALLS!,"Casual, Indie","Single-player, Steam Achievements, Family Sharing"
857080,Escape from the Princess,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
857090,Jumping Man Mine,"Casual, Indie","Single-player, Family Sharing"
857110,SPACE BLASTER 8 BIT,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Remote Play Together, Family Sharing"
857130,Evolution,Casual,"Single-player, Family Sharing"
857140,"Snake, snake, snake!","Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Remote Play Together, Family Sharing"
857180,The Cooking Game VR,"Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing"
857200,Planet Stronghold 2,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
857210,Building Block Heroes: Rush Edition,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing"
857230,The Vrennman Case,"Adventure, Casual, Indie","Single-player, Partial Controller Support, Family Sharing"
857240,The Prison Experiment,"Violent, Action, Indie, Massively Multiplayer, RPG, Strategy, Early Access","Multi-player, MMO, PvP, Online PvP, Family Sharing"
857300,Korvux,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
857320,SRPG Studio,"Animation & Modeling, Design & Illustration, Education, Game Development",Steam Workshop
857350,CopperCube 6 Game Engine,"Animation & Modeling, Design & Illustration",
857370,The Entity,"Action, Casual, Indie, Strategy","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
857410,Red Spider3: A Heroine Never Dies,Adventure,Single-player
857420,Just Beat Em Up : World of Fury,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing"
857450,ISLAND,"Adventure, Casual","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
857460,∀kashicforce,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing"
857470,NEKOKORO,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing"
857480,Seirei,"Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
857500,BLACK BIRD,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing"
857510,Knife Flipping,"Casual, Indie","Single-player, Family Sharing"
857520,Degrees,Racing,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Family Sharing"
857540,Soviet Bear Uni Adventure,"Action, Adventure, Indie, Simulation","Single-player, Partial Controller Support, Family Sharing"
857600,Fight the Horror,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Partial Controller Support, Family Sharing"
857680,Catan VR,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Family Sharing"
857690,Lagoon Lounge : The Poisonous Fountain,"Adventure, Casual, Indie, Simulation","Single-player, Family Sharing"
857700,ZombieHunterZ,"Action, Casual, Indie, Simulation","Single-player, Family Sharing"
857710,Fallen Bird,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
857740,Ludicrous Speed,"Action, Free To Play, Indie, Racing","Single-player, Tracked Controller Support, VR Only, Steam Cloud"
857760,SAD RPG,"Adventure, Casual, Indie, RPG, Early Access","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing"
857770,The Risers,"Action, Indie","Single-player, Family Sharing"
857850,Dwarf Defense,"Action, Adventure, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Stats, Steam Leaderboards, Family Sharing"
857860,Planetary Settlers,"Adventure, Indie, Early Access","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing"
857890,RuneTech,"Action, Adventure, Indie, RPG, Strategy, Early Access","Single-player, Tracked Controller Support, VR Only, Family Sharing"
857900,Huge Enemy - Worldbreakers,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards"
857940,Nature Calls,"Action, Casual, Indie","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Family Sharing"
857950,Incredible Mandy,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
857980,Void Bastards,"Action, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing"
858010,EnchantedGirl,"Adventure, Casual, RPG, Simulation","Single-player, Family Sharing"
858030,Paranoia: Happiness is Mandatory,RPG,"Single-player, Family Sharing"
858040,Sudoku Jigsaw,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
858050,The Rose of Segunda,"Indie, Simulation","Single-player, Family Sharing"
858060,Idle Heist,"Action, Adventure, Casual, Free To Play, Indie, RPG, Strategy","Single-player, Steam Achievements, In-App Purchases, Steam Cloud, Stats"
858070,Leviathan's Sword,"Action, Adventure, Indie, Strategy, Early Access","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing"
858080,Spoorky,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Stats, Includes level editor, Family Sharing"
858090,Spellcastia,"Action, Indie, Early Access","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Stats, Family Sharing"
858100,Grimshade,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Family Sharing"
858170,The Last Train,"Adventure, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing"
858180,Adventures of Mike,"Casual, Indie","Single-player, Steam Achievements, Family Sharing"
858200,Scratch The Cat,"Action, Adventure, Indie","Single-player, Full controller support, Family Sharing"
858210,Nova Drift,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing"
858250,Tainted Fate,"Action, Adventure, Indie","Single-player, Tracked Controller Support, VR Only, Family Sharing"
858260,Until You Fall,"Action, Adventure, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Steam Cloud, Family Sharing"
858320,Itsy Blitzy,"Action, Indie","Single-player, Full controller support, Steam Cloud"
858360,The Initiate 2: The First Interviews,"Action, Adventure, Indie","Single-player, Steam Achievements, Family Sharing"
858380,Expedia Cenote Experience,"Adventure, Casual, Free To Play","Single-player, Tracked Controller Support, VR Only"
858420,Trivia Vault: Business Trivia,"Action, Casual, Simulation","Single-player, Steam Achievements, Family Sharing"
858440,Ninja Midori,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing"
858500,Skelli Tower Defense,"Action, Casual, Indie, Strategy","Single-player, Steam Achievements, Family Sharing"
1222150,Her War,"Action, Indie, RPG, Simulation, Strategy, Early Access","Single-player, Family Sharing"
1222160,毛笔模拟器 / Chinese Brush Simulator,"Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Family Sharing"
1222170,Cutish,"Adventure, Indie","Single-player, Family Sharing"
1222180,Retro Drift,"Casual, Indie, Racing, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing"
1222200,UldreVoid,"Action, Adventure, Indie, RPG, Early Access",Single-player
1222210,Extremely Realistic Siege Warfare Simulator,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op"
1222220,7WORLDS: The Dreaming Dale,"Action, Adventure, Casual, Indie, Early Access","Single-player, Partial Controller Support, Family Sharing"
1222230,Space Ranger VR,"Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Tracked Controller Support, VR Only, Family Sharing"
1222240,Mineirinho Wildtides DC,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Remote Play Together, Family Sharing"
1222250,La Historia De,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Workshop, Includes level editor, Family Sharing"
1222260,The Lost Brewery,"Action, Adventure, Casual, Indie, RPG",Single-player
1222270,Gunbrick,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing"
1222290,Heist Simulator,"Simulation, Strategy","Single-player, Full controller support, Family Sharing"
1222300,Into The Flames,"Action, Casual, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Family Sharing"
1222330,Hentai puzzle Simple,"Casual, Free To Play, Indie","Single-player, Steam Achievements"
1222340,Sockventure,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
1222360,Cybershoes,"Action, Sports, Utilities, Game Development","Steam Achievements, VR Only"
1222370,Necromunda: Hired Gun,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
1222380,Spookyard,"Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Remote Play Together"
1222390,Shape Arena,"Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together"
1222400,The Soul Stone War,"Adventure, Casual, Indie, RPG","Single-player, Steam Cloud, Family Sharing"
1222420,BallsBlasterVR,Action,"Single-player, Tracked Controller Support, VR Only, Family Sharing"
1222470,18+ MEMORY,Action,"Single-player, Steam Achievements, Family Sharing"
1222480,Slotracers VR,"Casual, Indie, Racing, Simulation","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Tracked Controller Support, VR Only, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing"
1222490,SCP : Facility Manager,"Indie, Strategy, Early Access","Single-player, Family Sharing"
1222540,Gastova: The Witches of Arkana,"Action, Adventure, Indie, RPG, Early Access","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1222550,Mercury Prime,"RPG, Strategy","Multi-player, Steam Achievements, Steam Leaderboards, Family Sharing"
1222560,KALMORA,"Adventure, Casual, RPG, Simulation","Single-player, Captions available, Family Sharing"
1222570,Red Ronin,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Family Sharing"
1222600,Stocksynd House,"Adventure, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing"
1222610,Model Kit Simulator VR,"Casual, Indie, Simulation","Single-player, Tracked Controller Support, VR Only, Steam Workshop, Family Sharing"
1222640,Cumming Hotel - A Gay Furry Slice of Life,RPG,"Single-player, Family Sharing"
1222670,The Sims™ 4,"Adventure, Casual, Simulation, Free To Play","Single-player, Steam Trading Cards, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Remote Play on Tablet"
1222680,Need for Speed™ Heat ,"Action, Adventure, Racing, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on Tablet, HDR available"
1222690,Dragon Age™ Inquisition,"Action, Adventure, RPG, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards"
1222700,A Way Out,"Action, Adventure, Indie","Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together"
1222720,Journey To Planet Earth,"Action, Adventure, Free To Play, Massively Multiplayer","Single-player, Multi-player, PvP, Online PvP, Full controller support"
1222730,STAR WARS™: Squadrons,"Action, Simulation","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, Camera Comfort, Chat Speech-to-text, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Surround Sound"
1222740,_space_train,Indie,"Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Family Sharing"
1222750,FutaDomWorld,"Casual, Indie, Early Access","Single-player, Family Sharing"
1222800,VALKYRIE CONNECT,"Adventure, RPG, Free To Play","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases, Steam Cloud"
1222830,Goalienator,"Indie, Sports","Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Stats, Steam Leaderboards"
1222840,Super Squash,"Action, Adventure, Indie, Free To Play","Single-player, Steam Achievements, Steam Cloud, Remote Play Together"
1222870,黄河大合唱,"Action, Indie, RPG, Simulation","Single-player, Partial Controller Support, Family Sharing"
1222930,VELUCITY,"Action, Casual, Indie, Early Access","Single-player, Family Sharing"
1222940,Cragls,"Free To Play, Racing, Sports","Multi-player, PvP, Online PvP"
1222960,Hotel Afterlife,"Indie, Simulation, Strategy","Single-player, Full controller support, Family Sharing"
1222980,XenovaderS,"Action, Indie","Single-player, Family Sharing"
1223020,大家的幻想乡·S,"Casual, Indie, Strategy, Early Access","Single-player, Family Sharing"
1223030,Ami,"Action, Adventure, Indie","Single-player, Full controller support, Family Sharing"
1223090,Emily Archer and the Curse of Tutankhamun,"Adventure, Casual, Indie","Single-player, Family Sharing"
1223110,BalloonBoyBob,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing"
1223140,Misshapen,Adventure,"Single-player, Full controller support, Family Sharing"
1223150,DSS war party,"Simulation, Strategy, Free To Play","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together"
1223180,Roselt Developer Tools,"Animation & Modeling, Design & Illustration, Photo Editing, Software Training, Utilities, Web Publishing, Game Development, Early Access",
1223200,Cardsweeper,"Casual, Indie","Single-player, Family Sharing"
1223210,Zombie Towns,"Action, Indie","Single-player, Family Sharing"
1223220,Ragamuffins,"Casual, Indie, RPG, Simulation, Strategy","Single-player, Full controller support, Steam Cloud, Family Sharing"
1223230,Escape From Russia,"Action, Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Family Sharing"
1223250,Hentai Cosplay USSR,"Casual, Indie","Single-player, Steam Achievements, Family Sharing"
1223260,Castle Torgeath Redux,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1223270,Dish Life: The Game,"Indie, Simulation","Single-player, Family Sharing"
1223350,War of the Barrenlands,Action,"Multi-player, PvP, Online PvP, Family Sharing"
1223360,The Harvest,"Action, Free To Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op"
1223370,Beardy McStrongarm,"Action, Indie, Free To Play",Single-player
1223380,Beyond The Underworld,"Adventure, Indie, Early Access","Single-player, Steam Achievements, Family Sharing"
1223390,A Player's Heart,"Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
1223440,MHL,"Indie, Simulation, Sports, Strategy","Single-player, Family Sharing"
1223500,Umurangi Generation,"Casual, Indie, Simulation","Single-player, Partial Controller Support, Family Sharing"
1223530,Mall Craze,"Simulation, Strategy, Early Access","Single-player, Family Sharing"
1223550,Buddy Bash,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing"
1223660,The Savana,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Family Sharing"
1223670,Super Rocket Ride,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1223720,Light Fingers,Indie,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play on TV, Remote Play Together, Family Sharing"
1223750,Cloud Meadow,"Casual, Indie, RPG, Simulation, Early Access","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
1223770,Relieve,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing"
1223810,Full Service,"Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing"
1223820,Dryad,"Action, Adventure, Indie","Single-player, Partial Controller Support, Family Sharing"
1223870,Sakura Hime 2,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
1223880,ManaTech,"Action, Early Access","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing"
1223910,Tennis World Tour 2,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
1224010,KIWAYA,"Action, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1224020,Creepy Tale,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
1224030,Erra: Exordium,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
1224050,Battle Bandits,"Action, Casual, Free To Play","Single-player, In-App Purchases"
1224070,Mira's Tale,"Action, Adventure, Indie","Single-player, Full controller support, Family Sharing"
1224120,Jerking Off In Class Simulator,"Casual, Simulation","Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing"
1224160,Sisterly Lust,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
1224220,Xevorel Part I - The Way Of The Feather,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing"
1224250,STRTK1NG,"Casual, Racing, Simulation","Single-player, Steam Achievements, In-App Purchases, Partial Controller Support, Steam Leaderboards, Family Sharing"
1224290,Horizon's Gate,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing"
1224310,Ridiculous Gungame,"Action, Casual","Multi-player, PvP, Online PvP, Steam Achievements, Custom Volume Controls, Stereo Sound, Steam Cloud, Family Sharing"
1224320,Secret City: Chalk of Fate Collector's Edition,"Adventure, Casual","Single-player, Family Sharing"
1224360,Grim Ember,"Action, Adventure, Casual, Indie, RPG, Strategy","Single-player, Full controller support, Family Sharing"
1224380,Somewhere: Sect of Relic,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1224420,Smashroom,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing"
1224450,My Jigsaw Adventures - Roads of Life,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
1224470,Psicose?,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
1224480,Fire Escape,"Adventure, Casual, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Supported, Family Sharing"
1224490,Inner Worlds,"Action, Adventure, Indie","Single-player, Partial Controller Support, Steam Cloud, Family Sharing"
1224530,Naked News,"Casual, Indie, RPG, Simulation","Single-player, Full controller support, Family Sharing"
1224600,G String,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Family Sharing"
1224630,Absolute Zero,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing"
1224640,Jump To Die 2 - Bloody Soul,"Free To Play, Simulation","Single-player, In-App Purchases, Steam Cloud"
1224650,Super Arcade Boy in Goodbye Greenies,"Action, Indie","Single-player, Partial Controller Support, Family Sharing"
1224690,Avaria: Chains of Lust,RPG,"Single-player, Full controller support, Family Sharing"
1224700,Kingpin: Reloaded,"Action, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing"
1224710,洞穴探险队 Caver,"Adventure, Casual, Indie, RPG, Strategy, Early Access","Single-player, Family Sharing"
1224770,Wanking Simulator VR,"Indie, Simulation","Single-player, Steam Achievements, Captions available, Stats, Steam Leaderboards, Family Sharing"
1371760,Birthright,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing"
1587970,ArcticBoy Story,"Adventure, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing"
1588000,Archer boy,Casual,"Single-player, Family Sharing"
1588010,PGA TOUR 2K23,"RPG, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Family Sharing"
1588040,Dungeon Clicker,"RPG, Early Access","Single-player, Steam Cloud, Family Sharing"
1588090,Rally Mechanic Simulator,"Casual, Indie, Racing, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
1588120,SwapOut,Action,"Single-player, Family Sharing"
1588130,MAZE: A VR Adventure,"Action, Adventure, Casual, Indie","Single-player, Tracked Controller Support, VR Only, Family Sharing"
1588140,Monkey vs Dino,"Action, Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing"
1588160,Putin VS Zombies,"Casual, Indie, Strategy","Single-player, Family Sharing"
1588180,Wild Isles,"Adventure, Casual, Indie, Simulation, Early Access","Single-player, Family Sharing"
1588190,Shatter Keep,"Action, Casual, Indie","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Partial Controller Support"
1588200,Caught in Nowhere,"Adventure, Indie, Early Access","Single-player, Family Sharing"
1588250,Contract Killer,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing"
1588300,Tower Alchemy,"Indie, Strategy","Single-player, Steam Achievements, Includes level editor, Family Sharing"
1588340,Demonlore,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
1588380,Blaster Master Zero 3,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
1588390,FaceWorld,"Animation & Modeling, Education, Utilities, Video Production, Game Development",
1588400,Spacelines from the Far Out - Captain's Prologue,"Action, Adventure, Casual, Indie, Simulation, Strategy, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together"
1588410,Hot Spring Hero,"Adventure, Casual, RPG","Single-player, Steam Cloud, Family Sharing"
1588460,Little Traveler,"Action, Adventure, Casual","Single-player, Steam Achievements"
1588500,Rogue Sweeper,"Casual, Indie","Single-player, Full controller support, Family Sharing"
1588510,Gaslamp Cases: The deadly Machine,"Action, Casual, Indie","Single-player, Family Sharing"
1588520,Survival Epoch,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access","Multi-player, PvP, Online PvP, Family Sharing"
1588530,Dungeon Alchemist,"RPG, Early Access","Single-player, Steam Workshop, Includes level editor, Remote Play Together, Family Sharing"
1588540,Special Force Legion of Monsters,"Action, Massively Multiplayer, Free To Play","Multi-player, PvP, Online PvP, In-App Purchases"
1588550,Cairn,"Action, Adventure, Indie, Simulation, Sports","Single-player, Full controller support, Steam Cloud, Family Sharing"
